URL,Headline,Channel,Status,Matched Keywords,Views,Likes,Publish Date
https://www.youtube.com/watch?v=MLgtpnQ8IUo,Operationalizing Threat Intelligence with Recorded Future,CISO Series,Relevant,"intelligence, threat",90,6,09 Feb 2026
https://www.youtube.com/watch?v=-N89tCovqHU,Autonomous Threat Hunting in Action,Recorded Future,Relevant,threat,47,2,05 Feb 2026
https://www.youtube.com/watch?v=XVM8SgiNUX0,Miss Lonelyhearts and the money mules,The Record from Recorded Future News ,Context Missing,"Brand found, no must-have keyword",33,1,13 Feb 2026
https://www.youtube.com/watch?v=8908vmJgmcA,"AOA Leaders Summit 2026: The Battles, Wins, and Priorities Shaping Optometry",The Power Hour: The Optometry Podcast,Irrelevant (Excluded),Excluded by: optometry,64,0,13 Feb 2026
https://www.youtube.com/watch?v=RtxHVBaP4Rk,WHAT DID THE PROPHET’S FACE REALLY LOOK LIKE? (AUTHENTIC HADITH DESCRIPTION),Religious Story TV,Irrelevant (Excluded),Excluded by: prophet,68445,2463,13 Feb 2026
https://www.youtube.com/watch?v=5CmM9ZZga9Y,[11] CS 1.6 with me - Just play games and relax! (fy_iceworld) (No commentary),Counter Strike 1.6 with me,Irrelevant (Excluded),Excluded by: counter strike,22,0,13 Feb 2026
https://www.youtube.com/watch?v=0PwqV85BvPE,God of War Sons of Sparta - Gameplay Walkthrough Part 1 (No Commentary),RoamWithRebble,Irrelevant (Excluded),Excluded by: gameplay,304,3,13 Feb 2026
https://www.youtube.com/watch?v=IQL0sNeft4s,🔥4K！EP181-186 完整版来袭！萧炎二星斗圣回归！天府联盟正式集结反攻魂殿！,苍穹漫域 Anime Realm,Irrelevant (Excluded),Excluded by: anime,2167,41,13 Feb 2026
https://www.youtube.com/watch?v=ZJDL4QpCsHA,A Silent Walk Through Japan’s Origins with My Dog | Nara Cinematic Slow Travel Vlog,SOPHIE TRIP,Irrelevant (Excluded),Excluded by: vlog,72,5,13 Feb 2026
https://www.youtube.com/watch?v=hNWOI9BIb0s,Ferrari FXX K vs Extreme Hypercars - Forza Horizon 5 | Thrustmaster T300 RS gameplay,Inv3rs,Irrelevant (Excluded),Excluded by: gameplay,50,2,13 Feb 2026
https://www.youtube.com/watch?v=cw3tAtO9LWY,Racing Xperience Driving Sim Gameplay Ultra Realistic - Supra MK4 - Android Game 2026,KROMINOS X,Irrelevant (Excluded),Excluded by: gameplay,209,4,13 Feb 2026
https://www.youtube.com/watch?v=ZG3KhuFuSv8,MULTISUB📢新番上线《都市神医之百代传承》第1~100集丨陈路意外觉醒百世轮回记忆，获得高超医术知识，开启开挂人生！#漫剧 #破晓动漫社,破晓动漫社 Dawn Anime Club,Irrelevant (Excluded),Excluded by: anime,11573,157,13 Feb 2026
https://www.youtube.com/watch?v=ZMJEgUcKNpo,MULTISUB📢新番上线《解锁撸毛成神系统后，我成了兽娘救世主》第1~60集丨穷小子凌飞惨遭羞辱，意外觉醒撸毛成神系统！昔日收养的流浪小动物竟变身绝美兽娘，与之结契即获逆天异能！#破晓动漫社,破晓动漫社 Dawn Anime Club,Irrelevant (Excluded),Excluded by: anime,1773,47,13 Feb 2026
https://www.youtube.com/watch?v=GciaeCZ9d74,MULTISUB📢新番上线《我的异能是社死》第1~60集丨社恐青年林凡穿越到以“羞耻心”为能量本源的异世界，这里招式越尴尬、越羞耻，爆发的“耻力”就越恐怖！#漫剧 #破晓动漫社,破晓动漫社 Dawn Anime Club,Irrelevant (Excluded),Excluded by: anime,1811,19,13 Feb 2026
https://www.youtube.com/watch?v=0BqfP1cYbGI,（最新完结）Multi sub💥💥💥【跨越时间线：我财神缺钱很合理吧】异类入侵，人类危在旦夕。就在天命者们苦苦摸索救世之路时，我却能跨越时间线！ #穿越 #次元动漫  #破界 #動漫,破界动漫局 Anime Club,Irrelevant (Excluded),Excluded by: anime,1806,19,13 Feb 2026
https://www.youtube.com/watch?v=yxBGQOguXks,（最新完结）Multi sub💥💥💥【震惊！洞房夜丑妻竟变绝美女帝】就为了一口仙灵鸡腿，落魄废太子王腾竟然娶了全城最丑的女人——柳颜汐 #穿越 #次元动漫  #破界 #動漫,破界动漫局 Anime Club,Irrelevant (Excluded),Excluded by: anime,1136,17,13 Feb 2026
https://www.youtube.com/watch?v=zUoNxDR12NA,❓❓渣男嫌她醜？煉金術一覺醒，治疤變美、點石成金封神！✨#movie #精彩影视 #drama #短剧 #chinesedrama #影视聚焦 #anime #宫斗 #影視解説 #搞笑,零点短剧,Irrelevant (Excluded),Excluded by: anime,60200,777,13 Feb 2026
https://www.youtube.com/watch?v=xUJwurBr7AQ,❗被渣男嫌醜有疤？她覺醒萬物煉金術，秒變女神狂賺百億！💦💦💦#短剧 #drama #movie #精彩影视 #影视聚焦 #chinesedrama #anime #影視解説 #搞笑 #穿越,微光社,Irrelevant (Excluded),Excluded by: anime,1559,18,13 Feb 2026
https://www.youtube.com/watch?v=bmtGGvng36k,Making Sure Everyone is Still ALIVE! - Let's Play Minecraft 693,Dallasmed65,Irrelevant (Excluded),Excluded by: minecraft,9208,924,13 Feb 2026
https://www.youtube.com/watch?v=_oNdugY2jP8,The Forbidden Prophecy That Led to a Holy War | Cathar Heresy,Hidden Epochs,Irrelevant (Excluded),Excluded by: prophecy,9,1,12 Feb 2026
https://www.youtube.com/watch?v=QaPzEmTi6Lc,Sneaky creeper (Lego Minecraft sounds test animation),EtechAnimations,Irrelevant (Excluded),Excluded by: minecraft,44,2,12 Feb 2026
https://www.youtube.com/watch?v=kE5ncGGoIM4,BackWards - Virtual Instrument - Hip Hop - Plugins - Loop Dilla,Loop Dilla,Irrelevant (Excluded),Excluded by: hip hop,22,2,12 Feb 2026
https://www.youtube.com/watch?v=4RWZWe0lrxM,Building the First Castle :: Kingdom Survival Ep. 6 :: Minecraft Let's Play,TGibby Films,Irrelevant (Excluded),Excluded by: minecraft,7,0,12 Feb 2026
https://www.youtube.com/watch?v=rYp1ofbdhzI,"HYTALE Live Gameplay – Building, Adventure, and Early Progression",SeliG,Irrelevant (Excluded),Excluded by: gameplay,13,1,12 Feb 2026
https://www.youtube.com/watch?v=xvBS7iGAqvQ,No New Zones in ESO? Devs Finally Reveal The Truth,GRAVE GAMING ,Irrelevant (Excluded),Excluded by: gaming,4609,191,12 Feb 2026
https://www.youtube.com/watch?v=tVjo0Fnulzc,Mi PROBLEMA al volver a ESPAÑA tras 7 AÑOS FUERA + Mis ÚLTIMOS DÍAS en JAPÓN 🇯🇵 🇪🇸 VLOG + me sincero,Anshin Doyle,Irrelevant (Excluded),Excluded by: vlog,5078,519,12 Feb 2026
https://www.youtube.com/watch?v=EesHPGcUrp8,"Which Way, America? Night 10 | Bible Prophecy Seminar Series",Highland Adventist,Irrelevant (Excluded),Excluded by: prophecy,0,1,12 Feb 2026
